pair_id,cost,objective,materialized_witnesses,zero_cost_edges,zero_cost_fraction,positive_cost_edges,local_cost_positive_median,local_cost_maximum
2014e5_to_1955e5,symmetric_corridor_exceedance,additive,74,5,0.06756756756756757,69,0.14272136334911265,2.915088006662291
2014e5_to_1955e5,symmetric_corridor_exceedance,bottleneck,74,1,0.013513513513513514,73,0.4238184836363825,1.609341791640779
2014e5_to_2014e3,discrete_frechet_distance,additive,74,66,0.8918918918918919,8,7.87749464576553,10.474566973769459
2014e5_to_2014e3,discrete_frechet_distance,bottleneck,74,17,0.22972972972972974,57,7.211102550927978,10.413666234542209
2014e5_to_2014e3,dynamic_time_warping_distance,additive,74,66,0.8918918918918919,8,3.160946752901653,3.9595497685332948
2014e5_to_2014e3,dynamic_time_warping_distance,bottleneck,74,45,0.6081081081081081,29,1.895321828228364,3.9595497685332948
2014e5_to_2014e3,hausdorff_distance,additive,74,66,0.8918918918918919,8,7.615773105863909,10.63014581273465
2014e5_to_2014e3,hausdorff_distance,bottleneck,74,22,0.2972972972972973,52,7.035533905932738,10.63014581273465
2014e5_to_2014e3,log_length_distortion,additive,74,56,0.7567567567567568,18,0.06957445475123045,0.3718741636721289
2014e5_to_2014e3,log_length_distortion,bottleneck,74,21,0.28378378378378377,53,0.11226730187108121,0.2676413215683348
2014e5_to_2014e3,mean_distance_tangent,additive,74,48,0.6486486486486487,26,0.023437500000000007,1.7046210250274694
2014e5_to_2014e3,mean_distance_tangent,bottleneck,74,17,0.22972972972972974,57,0.4761048768161634,1.7046210250274694
2014e5_to_2014e3,relative_length_error,additive,74,56,0.7567567567567568,18,0.061275199249882784,0.34782608695652173
2014e5_to_2014e3,relative_length_error,bottleneck,74,22,0.2972972972972973,52,0.11320007455036812,0.23481781376518218
2014e5_to_2014e3,symmetric_corridor_exceedance,additive,74,73,0.9864864864864865,1,0.0002433403717047259,0.0002433403717047259
2014e5_to_2014e3,symmetric_corridor_exceedance,bottleneck,74,73,0.9864864864864865,1,0.0002433403717047259,0.0002433403717047259
