run_id,pair_id,cost,objective,feasible,objective_value,mapped_vertices,materialized_witnesses,local_cost_minimum,local_cost_q25,local_cost_median,local_cost_positive_median,local_cost_mean,local_cost_q75,local_cost_maximum,local_cost_standard_deviation,zero_cost_edges,zero_cost_fraction,positive_cost_edges,figures,report,suite_name,summary_path,report_path,mapping_hash,local_cost_sum
1955e5_to_1955e3__relative_length_error__rho_10_0,1955e5_to_1955e3,relative_length_error,additive,True,3.586561682942074,70,103,0.0,0.0,0.0,0.06451612903225812,0.03482098721302985,0.011058528105080179,0.5236051502145922,0.0869948952866929,76,0.7378640776699029,27,"{""cost_distribution"":""1955e5_to_1955e3\\relative_length_error\\additive_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\relative_length_error\\additive_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\relative_length_error\\additive_overview.png""}",1955e5_to_1955e3\relative_length_error\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\relative_length_error\report.json,d881bc4b9ecd80314dcc83f6f92d7c48430546a05000f87b4b4990fa68bf3f84,3.586561682942074
1955e5_to_1955e3__relative_length_error__rho_10_0,1955e5_to_1955e3,relative_length_error,bottleneck,True,0.4377682403433476,70,103,0.0,0.0,0.03333333333333344,0.11864406779661008,0.0820543836275184,0.13484848484848488,0.4377682403433476,0.11034062392819274,44,0.42718446601941745,59,"{""cost_distribution"":""1955e5_to_1955e3\\relative_length_error\\bottleneck_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\relative_length_error\\bottleneck_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\relative_length_error\\bottleneck_overview.png""}",1955e5_to_1955e3\relative_length_error\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\relative_length_error\report.json,120177c3a1ba2407b85ec2030c27d937b8add1d07cbbd40e9057b29955264b71,8.451601513634396
1955e5_to_1955e3__symmetric_corridor_exceedance__rho_10_0,1955e5_to_1955e3,symmetric_corridor_exceedance,additive,True,0.11050131016934393,70,103,0.0,0.0,0.0,0.05525065508467197,0.0010728282540713003,0.0,0.1074619059207471,0.010538302895114003,101,0.9805825242718447,2,"{""cost_distribution"":""1955e5_to_1955e3\\symmetric_corridor_exceedance\\additive_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\symmetric_corridor_exceedance\\additive_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\symmetric_corridor_exceedance\\additive_overview.png""}",1955e5_to_1955e3\symmetric_corridor_exceedance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\symmetric_corridor_exceedance\report.json,f123c2f03c41209bc8ee8b293612c08738fa515766c2ad71e3be2cd080f11ae3,0.11050131016934393
1955e5_to_1955e3__symmetric_corridor_exceedance__rho_10_0,1955e5_to_1955e3,symmetric_corridor_exceedance,bottleneck,True,0.09976215823767516,70,103,0.0,0.0,0.0,0.007184760747461878,0.00503707582313525,0.00130394189954342,0.09976215823767516,0.014223489369356525,71,0.6893203883495146,32,"{""cost_distribution"":""1955e5_to_1955e3\\symmetric_corridor_exceedance\\bottleneck_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\symmetric_corridor_exceedance\\bottleneck_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\symmetric_corridor_exceedance\\bottleneck_overview.png""}",1955e5_to_1955e3\symmetric_corridor_exceedance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\symmetric_corridor_exceedance\report.json,6523305e7172af801e278fb02529f04fb6d879e10d97514e462f6e312710e270,0.5188188097829308
1998e3_to_1955e3__relative_length_error__rho_12_5,1998e3_to_1955e3,relative_length_error,additive,True,411.18168549112136,321,509,0.0,0.1100000000000001,0.30434782608695654,0.35294117647058826,0.8078225648155626,0.6962025316455696,20.666666666666668,1.82304258727073,39,0.07662082514734773,470,"{""cost_distribution"":""1998e3_to_1955e3_rho12_5\\relative_length_error\\additive_cost_distribution.png"",""edge_details"":""1998e3_to_1955e3_rho12_5\\relative_length_error\\additive_best_median_positive_worst.png"",""overview"":""1998e3_to_1955e3_rho12_5\\relative_length_error\\additive_overview.png""}",1998e3_to_1955e3_rho12_5\relative_length_error\report.json,rho_screen_12_5,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\rho_screen_12_5\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\rho_screen_12_5\1998e3_to_1955e3_rho12_5\relative_length_error\report.json,fe349259fdca57fce51d5035a9a6c7c84f87fb79a5b6230b96e76a3dcc5a8831,411.18168549112136
1998e3_to_1955e3__relative_length_error__rho_12_5,1998e3_to_1955e3,relative_length_error,bottleneck,True,20.666666666666668,321,509,0.0,0.3571428571428572,0.7777777777777777,0.8144519289650949,1.5835156996693378,1.923076923076923,20.666666666666668,2.2625839759930453,7,0.0137524557956778,502,"{""cost_distribution"":""1998e3_to_1955e3_rho12_5\\relative_length_error\\bottleneck_cost_distribution.png"",""edge_details"":""1998e3_to_1955e3_rho12_5\\relative_length_error\\bottleneck_best_median_positive_worst.png"",""overview"":""1998e3_to_1955e3_rho12_5\\relative_length_error\\bottleneck_overview.png""}",1998e3_to_1955e3_rho12_5\relative_length_error\report.json,rho_screen_12_5,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\rho_screen_12_5\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\rho_screen_12_5\1998e3_to_1955e3_rho12_5\relative_length_error\report.json,b74faf8ad3f8128d58799ade1bbc7cb215de3c763003d2f1f748ea3cda5fe923,806.0094911316929
1998e5_to_1998e3__discrete_frechet_distance__rho_10_0,1998e5_to_1998e3,discrete_frechet_distance,additive,True,81.73861807535519,54,78,0.0,0.0,0.0,5.53878213815076,1.0479310009660925,0.0,9.785466467851663,2.4708399596368005,64,0.8205128205128205,14,"{""cost_distribution"":""1998e5_to_1998e3\\discrete_frechet_distance\\additive_cost_distribution.png"",""edge_details"":""1998e5_to_1998e3\\discrete_frechet_distance\\additive_best_median_positive_worst.png"",""overview"":""1998e5_to_1998e3\\discrete_frechet_distance\\additive_overview.png""}",1998e5_to_1998e3\discrete_frechet_distance\report.json,confirmed_pairs,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\1998e5_to_1998e3\discrete_frechet_distance\report.json,94c2d2ad006426b28f708b23346e0e53523f1fff9b87ccf70b9f74e72d69ab3f,81.73861807535519
1998e5_to_1998e3__discrete_frechet_distance__rho_10_0,1998e5_to_1998e3,discrete_frechet_distance,bottleneck,True,9.693020608978266,54,78,0.0,0.0,2.0,4.401571751904956,2.4706845913250683,4.572002417834993,9.693020608978266,2.7047222443718697,36,0.46153846153846156,42,"{""cost_distribution"":""1998e5_to_1998e3\\discrete_frechet_distance\\bottleneck_cost_distribution.png"",""edge_details"":""1998e5_to_1998e3\\discrete_frechet_distance\\bottleneck_best_median_positive_worst.png"",""overview"":""1998e5_to_1998e3\\discrete_frechet_distance\\bottleneck_overview.png""}",1998e5_to_1998e3\discrete_frechet_distance\report.json,confirmed_pairs,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\1998e5_to_1998e3\discrete_frechet_distance\report.json,7c17606e20e5265c91e4f26758bf986986eeeb2143a80e77ca62f04f7361a0a4,192.71339812335535
1998e5_to_1998e3__dynamic_time_warping_distance__rho_10_0,1998e5_to_1998e3,dynamic_time_warping_distance,additive,True,36.419149958482684,54,78,0.0,0.0,0.0,1.7769113233136027,0.4669121789549061,0.0,5.809602579718631,1.1192497681700835,62,0.7948717948717948,16,"{""cost_distribution"":""1998e5_to_1998e3\\dynamic_time_warping_distance\\additive_cost_distribution.png"",""edge_details"":""1998e5_to_1998e3\\dynamic_time_warping_distance\\additive_best_median_positive_worst.png"",""overview"":""1998e5_to_1998e3\\dynamic_time_warping_distance\\additive_overview.png""}",1998e5_to_1998e3\dynamic_time_warping_distance\report.json,confirmed_pairs,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\1998e5_to_1998e3\dynamic_time_warping_distance\report.json,290a2e80691292757736871118e6c3ee6f0352838e0df5cb1867ea24f2d9c1af,36.419149958482684
1998e5_to_1998e3__dynamic_time_warping_distance__rho_10_0,1998e5_to_1998e3,dynamic_time_warping_distance,bottleneck,True,5.809602579718631,54,78,0.0,0.0,1.1451342205822206,1.928204314772293,1.52638861483096,2.4501339552079417,5.809602579718631,1.6199656864507639,27,0.34615384615384615,51,"{""cost_distribution"":""1998e5_to_1998e3\\dynamic_time_warping_distance\\bottleneck_cost_distribution.png"",""edge_details"":""1998e5_to_1998e3\\dynamic_time_warping_distance\\bottleneck_best_median_positive_worst.png"",""overview"":""1998e5_to_1998e3\\dynamic_time_warping_distance\\bottleneck_overview.png""}",1998e5_to_1998e3\dynamic_time_warping_distance\report.json,confirmed_pairs,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\1998e5_to_1998e3\dynamic_time_warping_distance\report.json,ea3d25a952e28d17bab4f0cc2a3c7d1e8225780b748b769de08ab6a8144546d0,119.05831195681486
