pair_id,objective,cost_a,cost_b,agreement_count,vertices_compared,agreement_fraction
1998e5_to_1998e3,additive,hausdorff_distance,relative_length_error,51,54,0.9444444444444444
1998e5_to_1998e3,additive,hausdorff_distance,symmetric_corridor_exceedance,36,54,0.6666666666666666
1998e5_to_1998e3,additive,log_length_distortion,mean_distance_tangent,49,54,0.9074074074074074
1998e5_to_1998e3,additive,log_length_distortion,relative_length_error,51,54,0.9444444444444444
1998e5_to_1998e3,additive,log_length_distortion,symmetric_corridor_exceedance,32,54,0.5925925925925926
1998e5_to_1998e3,additive,mean_distance_tangent,relative_length_error,52,54,0.9629629629629629
1998e5_to_1998e3,additive,mean_distance_tangent,symmetric_corridor_exceedance,35,54,0.6481481481481481
1998e5_to_1998e3,additive,relative_length_error,symmetric_corridor_exceedance,33,54,0.6111111111111112
1998e5_to_1998e3,bottleneck,discrete_frechet_distance,dynamic_time_warping_distance,43,54,0.7962962962962963
1998e5_to_1998e3,bottleneck,discrete_frechet_distance,hausdorff_distance,50,54,0.9259259259259259
1998e5_to_1998e3,bottleneck,discrete_frechet_distance,log_length_distortion,31,54,0.5740740740740741
1998e5_to_1998e3,bottleneck,discrete_frechet_distance,mean_distance_tangent,32,54,0.5925925925925926
1998e5_to_1998e3,bottleneck,discrete_frechet_distance,relative_length_error,29,54,0.5370370370370371
1998e5_to_1998e3,bottleneck,discrete_frechet_distance,symmetric_corridor_exceedance,42,54,0.7777777777777778
1998e5_to_1998e3,bottleneck,dynamic_time_warping_distance,hausdorff_distance,43,54,0.7962962962962963
1998e5_to_1998e3,bottleneck,dynamic_time_warping_distance,log_length_distortion,27,54,0.5
1998e5_to_1998e3,bottleneck,dynamic_time_warping_distance,mean_distance_tangent,40,54,0.7407407407407407
1998e5_to_1998e3,bottleneck,dynamic_time_warping_distance,relative_length_error,25,54,0.46296296296296297
1998e5_to_1998e3,bottleneck,dynamic_time_warping_distance,symmetric_corridor_exceedance,40,54,0.7407407407407407
1998e5_to_1998e3,bottleneck,hausdorff_distance,log_length_distortion,29,54,0.5370370370370371
1998e5_to_1998e3,bottleneck,hausdorff_distance,mean_distance_tangent,33,54,0.6111111111111112
1998e5_to_1998e3,bottleneck,hausdorff_distance,relative_length_error,30,54,0.5555555555555556
1998e5_to_1998e3,bottleneck,hausdorff_distance,symmetric_corridor_exceedance,44,54,0.8148148148148148
1998e5_to_1998e3,bottleneck,log_length_distortion,mean_distance_tangent,26,54,0.48148148148148145
1998e5_to_1998e3,bottleneck,log_length_distortion,relative_length_error,39,54,0.7222222222222222
1998e5_to_1998e3,bottleneck,log_length_distortion,symmetric_corridor_exceedance,32,54,0.5925925925925926
1998e5_to_1998e3,bottleneck,mean_distance_tangent,relative_length_error,20,54,0.37037037037037035
1998e5_to_1998e3,bottleneck,mean_distance_tangent,symmetric_corridor_exceedance,31,54,0.5740740740740741
1998e5_to_1998e3,bottleneck,relative_length_error,symmetric_corridor_exceedance,29,54,0.5370370370370371
2014e5_to_1955e3,additive,discrete_frechet_distance,dynamic_time_warping_distance,40,51,0.7843137254901961
2014e5_to_1955e3,additive,discrete_frechet_distance,hausdorff_distance,39,51,0.7647058823529411
2014e5_to_1955e3,additive,discrete_frechet_distance,log_length_distortion,19,51,0.37254901960784315
2014e5_to_1955e3,additive,discrete_frechet_distance,mean_distance_tangent,32,51,0.6274509803921569
2014e5_to_1955e3,additive,discrete_frechet_distance,relative_length_error,17,51,0.3333333333333333
2014e5_to_1955e3,additive,discrete_frechet_distance,symmetric_corridor_exceedance,30,51,0.5882352941176471
2014e5_to_1955e3,additive,dynamic_time_warping_distance,hausdorff_distance,35,51,0.6862745098039216
2014e5_to_1955e3,additive,dynamic_time_warping_distance,log_length_distortion,16,51,0.3137254901960784
2014e5_to_1955e3,additive,dynamic_time_warping_distance,mean_distance_tangent,36,51,0.7058823529411765
2014e5_to_1955e3,additive,dynamic_time_warping_distance,relative_length_error,14,51,0.27450980392156865
2014e5_to_1955e3,additive,dynamic_time_warping_distance,symmetric_corridor_exceedance,32,51,0.6274509803921569
2014e5_to_1955e3,additive,hausdorff_distance,log_length_distortion,18,51,0.35294117647058826
2014e5_to_1955e3,additive,hausdorff_distance,mean_distance_tangent,32,51,0.6274509803921569
2014e5_to_1955e3,additive,hausdorff_distance,relative_length_error,16,51,0.3137254901960784
2014e5_to_1955e3,additive,hausdorff_distance,symmetric_corridor_exceedance,30,51,0.5882352941176471
2014e5_to_1955e3,additive,log_length_distortion,mean_distance_tangent,20,51,0.39215686274509803
2014e5_to_1955e3,additive,log_length_distortion,relative_length_error,48,51,0.9411764705882353
2014e5_to_1955e3,additive,log_length_distortion,symmetric_corridor_exceedance,18,51,0.35294117647058826
2014e5_to_1955e3,additive,mean_distance_tangent,relative_length_error,18,51,0.35294117647058826
2014e5_to_1955e3,additive,mean_distance_tangent,symmetric_corridor_exceedance,29,51,0.5686274509803921
2014e5_to_1955e3,additive,relative_length_error,symmetric_corridor_exceedance,17,51,0.3333333333333333
2014e5_to_1955e3,bottleneck,discrete_frechet_distance,dynamic_time_warping_distance,25,51,0.49019607843137253
