source,target,rho,candidate_mode,top_k,subdivision_points,adaptive_max_points_per_source,adaptive_min_separation,matching_target_vertices,matching_target_edges,empty_domains,total_candidates,minimum_candidates,maximum_candidates,estimated_state_upper_bound,largest_candidate_product,elapsed_seconds,status,error
1955e11,2014e3,12.5,target_junctions,25,2,8,1.0,317,493,0,8,4,4,16,16,0.130308,ok,
1955e11,2014e3,12.5,original_target_vertices,25,2,8,1.0,4059,4236,0,18,8,10,80,80,0.385896,ok,
1955e11,2014e3,12.5,uniform_target_subdivision,25,2,8,1.0,1303,1479,0,11,4,7,28,28,0.396186,ok,
1955e11,2014e3,12.5,adaptive_closest_points,25,2,8,1.0,321,497,0,9,3,6,18,18,0.181216,ok,
1955e11,2014e5,10.0,target_junctions,25,2,8,1.0,51,74,1,2,0,2,0,0,0.028246,ok,
1955e11,2014e5,10.0,original_target_vertices,25,2,8,1.0,2366,2389,1,7,0,7,0,0,2.814611,ok,
1955e11,2014e5,10.0,uniform_target_subdivision,25,2,8,1.0,199,222,1,2,0,2,0,0,0.083905,ok,
1955e11,2014e5,10.0,adaptive_closest_points,25,2,8,1.0,52,75,1,2,0,2,0,0,0.047997,ok,
1955e11,2014e5,12.5,target_junctions,25,2,8,1.0,51,74,1,2,0,2,0,0,0.021391,ok,
1955e11,2014e5,12.5,original_target_vertices,25,2,8,1.0,2366,2389,1,8,0,8,0,0,0.268776,ok,
1955e11,2014e5,12.5,uniform_target_subdivision,25,2,8,1.0,199,222,1,2,0,2,0,0,0.083043,ok,
1955e11,2014e5,12.5,adaptive_closest_points,25,2,8,1.0,52,75,1,2,0,2,0,0,0.046102,ok,
1955e11,2014e7,10.0,target_junctions,25,2,8,1.0,12,15,1,2,0,2,0,0,0.005064,ok,
1955e11,2014e7,10.0,original_target_vertices,25,2,8,1.0,1618,1621,1,7,0,7,0,0,2.104384,ok,
1955e11,2014e7,10.0,uniform_target_subdivision,25,2,8,1.0,42,45,1,1,0,1,0,0,0.032566,ok,
1955e11,2014e7,10.0,adaptive_closest_points,25,2,8,1.0,13,16,1,2,0,2,0,0,0.027284,ok,
1955e11,2014e7,12.5,target_junctions,25,2,8,1.0,12,15,1,2,0,2,0,0,0.005645,ok,
1955e11,2014e7,12.5,original_target_vertices,25,2,8,1.0,1618,1621,1,8,0,8,0,0,0.226827,ok,
1955e11,2014e7,12.5,uniform_target_subdivision,25,2,8,1.0,42,45,1,1,0,1,0,0,0.032971,ok,
1955e11,2014e7,12.5,adaptive_closest_points,25,2,8,1.0,13,16,1,2,0,2,0,0,0.027167,ok,
1955e5,1955e3,10.0,target_junctions,25,2,8,1.0,371,581,0,454,2,14,218899,37440,0.146138,ok,
1955e5,1955e3,10.0,original_target_vertices,25,2,8,1.0,4489,4703,0,1109,1,25,6458981,1091740,0.485133,ok,
1955e5,1955e3,10.0,uniform_target_subdivision,25,2,8,1.0,1533,1743,0,550,1,25,511999,153600,0.464114,ok,
1955e5,1955e3,10.0,adaptive_closest_points,25,2,8,1.0,454,664,0,261,1,11,21443,5760,0.782186,ok,
1955e5,1955e3,12.5,target_junctions,25,2,8,1.0,371,581,0,515,2,17,449343,67320,0.152243,ok,
1955e5,1955e3,12.5,original_target_vertices,25,2,8,1.0,4489,4703,0,1345,2,25,16740854,5175000,0.521965,ok,
1955e5,1955e3,12.5,uniform_target_subdivision,25,2,8,1.0,1533,1743,0,715,1,25,1294268,331500,0.472382,ok,
1955e5,1955e3,12.5,adaptive_closest_points,25,2,8,1.0,468,678,0,319,1,13,51187,11232,0.855432,ok,
1955e5,1998e3,10.0,target_junctions,25,2,8,1.0,321,509,0,394,2,13,104835,16380,0.139150,ok,
1955e5,1998e3,10.0,original_target_vertices,25,2,8,1.0,4322,4511,0,947,3,25,11744209,3375000,0.454236,ok,
1955e5,1998e3,10.0,uniform_target_subdivision,25,2,8,1.0,1339,1527,2,414,0,24,131917,36288,0.416184,ok,
1955e5,1998e3,10.0,adaptive_closest_points,25,2,8,1.0,522,710,0,357,1,13,72313,10920,0.750692,ok,
1955e5,1998e3,12.5,target_junctions,25,2,8,1.0,321,509,0,453,2,13,153746,22932,0.136860,ok,
1955e5,1998e3,12.5,original_target_vertices,25,2,8,1.0,4322,4511,0,1207,4,25,22565738,4265625,0.457218,ok,
1955e5,1998e3,12.5,uniform_target_subdivision,25,2,8,1.0,1339,1527,0,597,1,25,474489,99000,0.422923,ok,
1955e5,1998e3,12.5,adaptive_closest_points,25,2,8,1.0,543,731,0,436,1,15,174872,24300,0.781454,ok,
1955e5,2014e3,10.0,target_junctions,25,2,8,1.0,317,493,0,339,2,9,69714,12348,0.139131,ok,
1955e5,2014e3,10.0,original_target_vertices,25,2,8,1.0,4059,4236,1,974,0,25,9397656,2208000,0.472297,ok,
1955e5,2014e3,10.0,uniform_target_subdivision,25,2,8,1.0,1303,1479,1,344,0,16,74123,25200,0.412272,ok,
1955e5,2014e3,10.0,adaptive_closest_points,25,2,8,1.0,501,677,0,301,1,10,34126,6075,0.720224,ok,
1955e5,2014e3,12.5,target_junctions,25,2,8,1.0,317,493,0,393,2,10,139863,24696,0.134256,ok,
1955e5,2014e3,12.5,original_target_vertices,25,2,8,1.0,4059,4236,1,1249,0,25,24193068,5046875,0.426982,ok,
1955e5,2014e3,12.5,uniform_target_subdivision,25,2,8,1.0,1303,1479,0,480,1,21,296556,73920,0.464372,ok,
1955e5,2014e3,12.5,adaptive_closest_points,25,2,8,1.0,531,707,0,391,1,13,141311,30030,0.779684,ok,
1955e7,1955e3,10.0,target_junctions,25,2,8,1.0,371,581,0,48,2,14,526,360,0.140880,ok,
1955e7,1955e3,10.0,original_target_vertices,25,2,8,1.0,4489,4703,0,109,1,25,5006,4200,0.432467,ok,
1955e7,1955e3,10.0,uniform_target_subdivision,25,2,8,1.0,1533,1743,0,65,1,19,1284,1040,0.548970,ok,
1955e7,1955e3,10.0,adaptive_closest_points,25,2,8,1.0,377,587,0,26,1,6,128,90,0.323417,ok,
1955e7,1955e3,12.5,target_junctions,25,2,8,1.0,371,581,0,52,2,16,626,440,0.158137,ok,
1955e7,1955e3,12.5,original_target_vertices,25,2,8,1.0,4489,4703,0,134,2,25,11443,10200,0.599536,ok,
1955e7,1955e3,12.5,uniform_target_subdivision,25,2,8,1.0,1533,1743,0,80,1,25,2200,1836,0.584894,ok,
1955e7,1955e3,12.5,adaptive_closest_points,25,2,8,1.0,377,587,0,28,1,7,151,108,0.309834,ok,
